,satisfaction_life,satisfaction_economy,satisfaction_government,satisfaction_democracy,satisfaction_education,satisfaction_health_services,immigration_same_ethnicity,immigration_diff_ethnicity,immigration_world_poor,country,gender,age,degree,weight
110,10,7,8,8,5,8,Allow some,Allow a few,Allow none,Austria,Female,79.0,False,0.16707698699999998
111,10,7,9,9,8,9,Allow some,Allow some,Allow some,Austria,Female,26.0,False,0.18157598100000003
112,9,4,4,3,6,6,Allow some,Allow some,Allow a few,Austria,Female,34.0,False,0.313373358
113,10,8,10,8,1,7,Allow many to come and live here,Allow some,Allow a few,Austria,Male,70.0,False,0.34816873200000004
114,8,8,4,8,10,10,Allow a few,Allow a few,Allow a few,Austria,Female,36.0,False,0.325998216
115,8,9,0,2,8,4,Allow some,Allow some,Allow a few,Austria,Male,53.0,False,0.325998216
116,7,7,7,7,7,4,Allow some,Allow some,Allow some,Austria,Female,50.0,False,0.351135566
117,8,8,5,0,3,8,Allow many to come and live here,Allow many to come and live here,Allow many to come and live here,Austria,Male,44.0,True,0.183105262
118,9,9,7,7,7,9,Allow some,Allow a few,Allow none,Austria,Female,52.0,False,0.499036225
119,9,8,6,7,9,9,,,,Austria,Male,33.0,False,0.151557926
120,8,6,4,7,8,7,Allow some,Allow a few,Allow a few,Austria,Male,39.0,False,0.364585214
121,8,9,10,10,9,10,Allow none,Allow none,Allow none,Austria,Male,45.0,False,0.495584556
122,10,8,5,5,8,6,Allow many to come and live here,Allow a few,Allow a few,Austria,Female,61.0,False,0.298238204
123,4,4,3,2,0,3,Allow many to come and live here,Allow none,Allow none,Austria,Female,34.0,False,0.323938595
124,9,8,2,4,2,7,Allow some,Allow some,Allow many to come and live here,Austria,Female,31.0,True,0.346540296
125,7,5,7,4,3,5,Allow some,Allow a few,Allow a few,Austria,Male,62.0,False,0.168206595
126,10,6,7,8,8,10,Allow some,Allow some,Allow some,Austria,Male,62.0,False,0.248207922
127,10,7,5,7,8,9,Allow some,Allow some,Allow a few,Austria,Male,35.0,False,0.277220979
128,10,8,3,3,4,7,Allow some,Allow a few,Allow none,Austria,Male,74.0,False,0.333575348
129,8,5,7,3,7,9,Allow a few,Allow a few,Allow a few,Austria,Male,35.0,False,0.217361446
130,8,7,5,6,6,8,Allow some,Allow a few,Allow a few,Austria,Male,61.0,False,0.321054448
131,9,10,7,5,7,10,Allow some,Allow a few,Allow none,Austria,Male,26.0,False,0.09360576599999999
132,8,7,3,7,8,8,Allow some,Allow some,Allow some,Austria,Female,45.0,True,0.182277865
133,9,6,6,4,6,8,Allow many to come and live here,Allow a few,Allow a few,Austria,Female,49.0,True,0.16314577800000002
134,9,7,7,9,9,9,Allow a few,Allow none,Allow none,Austria,Female,86.0,False,0.18157598100000003
135,5,5,4,6,7,7,Allow a few,Allow a few,Allow a few,Austria,Male,23.0,False,0.330737507
136,8,8,2,7,6,8,Allow many to come and live here,Allow many to come and live here,Allow many to come and live here,Austria,Male,68.0,False,0.187091139
